billed_entity_id,billed_entity_number,billed_entity_name,billed_entity_city,billed_entity_state,billed_entity_zip_code,billed_entity_zip_code_ext,billed_entity_email,billed_entity_phone,billed_entity_phone_ext
1,143437,ELKO COUNTY SCHOOL DISTRICT,ELKO,NV,89801,,mrobinson@ecsdnv.net,775-738-5196,
2,25704,NEW HORIZONS REG ED CENTER,HAMPTON,VA,23666,1500,,757-766-1100,
3,17036860,Utah Preparatory Academy,SALT LAKE CITY,UT,84101,2020,,404-886-1840,
4,125816,INTERMEDIATE UNIT 17,WILLIAMSPORT,PA,17701,8609,,570-323-8561,
5,81203,ST JOSEPH'S ACADEMY,BATON ROUGE,LA,70808,1120,,225-383-7207,
6,143260,AZTEC MUNICIPAL SCHOOL DIST,AZTEC,NM,87410,1818,,505-334-9474,
7,150246,Utah Education and Telehealth Network,SALT LAKE CITY,UT,84112,,jerome@uen.org,801-581-3019,
8,17019238,Elko-Eureka County Library System,Elko,NV,89801,3331,,775-738-3066,
9,127568,ST JOHNS COUNTY SCHOOL DIST,ST AUGUSTINE,FL,32084,3633,,904-547-7500,
10,139690,RUSSELLVILLE SCHOOL DIST 14,RUSSELLVILLE,AR,72811,0928,,479-968-1306,
11,17023492,Achievement Charter Academy,FUQUAY VARINA,NC,27526,6770,,919-552-5446,
12,141273,RICE CONS INDEP SCHOOL DIST,ALTAIR,TX,77412,0338,,979-234-3531,
13,131816,ATLANTIC COMM SCHOOL DISTRICT,ATLANTIC,IA,50022,2352,,712-243-4252,
14,17006521,Humboldt County Library,WINNEMUCCA,NV,89445,3010,,775-623-6388,
15,16056042,COMMUNITY SCHOOL OF DAVIDSON HS,DAVIDSON,NC,28036,6905,asnyder@csdspartans.org,704-897-8061,
16,144371,HICKMAN COMMUNITY CHARTER DISTRICT,HICKMAN,CA,95323,,,209-874-9070,
17,139472,SOUTH SIDE SCHOOL DISTRICT,BEE BRANCH,AR,72013,,,501-654-2242,
18,145112,ECHO SCHOOL DISTRICT 5,ECHO,OR,97826,9600,raymon.smith@echosd.org,541-376-8436,
