service_id,service_request_id,service_category,service_type,function
1,1,Category 1,Data Transmission and/or Internet Access,Standalone Data Transmission Service
2,1,Category 2,Internal Connections,Wireless Access Points and Necessary Software and Licenses
3,1,Category 1,Data Transmission and/or Internet Access,Internet Access and Data Transmission Service
4,,,,
5,1,Category 2,Internal Connections,Switches and Necessary Software and Licenses
6,4,Category 2,Basic Maintenance of Internal Connections,"Antennas, Connectors, and Related Components"
7,3,Category 1,Data Transmission and/or Internet Access,Category One Network Equipment
8,2,Category 2,Internal Connections,Wireless Access Points and Necessary Software and Licenses
9,6,Category 2,Basic Maintenance of Internal Connections,Switches
10,1,Category 1,Data Transmission and/or Internet Access,Cellular Data Plan/Air Card Service
11,2,Category 2,Basic Maintenance of Internal Connections,Cabling
12,4,Category 2,Managed Internal Broadband Services,Existing Equipment
13,3,Category 2,Internal Connections,Switches and Necessary Software and Licenses
14,1,Category 2,Internal Connections,Cabling
15,2,Category 2,Basic Maintenance of Internal Connections,Switches
16,5,Category 2,Basic Maintenance of Internal Connections,"Antennas, Connectors, and Related Components"
17,2,Category 1,Data Transmission and/or Internet Access,Standalone Data Transmission Service
18,1,Category 2,Internal Connections,"Firewall Service, Components, and Necessary Software and Licenses"
19,1,Category 2,Basic Maintenance of Internal Connections,Firewall Service and Components
20,9,Category 2,Internal Connections,Racks
21,3,Category 1,Data Transmission and/or Internet Access,Standalone Data Transmission Service
22,4,Category 2,Basic Maintenance of Internal Connections,Switches
23,1,Category 2,Basic Maintenance of Internal Connections,Switches
24,1,Category 2,Internal Connections,Wireless Controllers and Necessary Software and Licenses
25,1,Category 2,Managed Internal Broadband Services,Existing Equipment
26,1,Category 2,Internal Connections,Uninterruptable Power Supply/Battery Backup and Necessary Software and Licenses
27,6,Category 2,Basic Maintenance of Internal Connections,"Antennas, Connectors, and Related Components"
28,2,Category 1,Data Transmission and/or Internet Access,Leased Dark Fiber
29,1,Category 1,Data Transmission and/or Internet Access,Category One Maintenance and Operations
30,3,Category 2,Managed Internal Broadband Services,Existing Equipment
31,3,Category 1,Data Transmission and/or Internet Access,Category One Maintenance and Operations
32,1,Category 2,Managed Internal Broadband Services,Leased Equipment
33,1,Category 1,Data Transmission and/or Internet Access,Mobile Service For Use On School Buses
34,1,Category 1,Data Transmission and/or Internet Access,Standalone Internet Access Service
35,1,Category 1,Data Transmission and/or Internet Access,Leased Dark Fiber
36,6,Category 2,Basic Maintenance of Internal Connections,Cabling
37,1,Category 1,Data Transmission and/or Internet Access,Self-Provisioned Network (Applicant Owned and Operated Network)
38,1,Category 2,Internal Connections,Caching and Necessary Software and Licenses
39,18,Category 2,Basic Maintenance of Internal Connections,Cabling
40,3,Category 2,Internal Connections,Cabling
41,4,Category 2,Managed Internal Broadband Services,Leased Equipment
42,2,Category 2,Basic Maintenance of Internal Connections,Firewall Service and Components
43,1,Category 2,Internal Connections,Routers and Necessary Software and Licenses
44,1,Category 2,Internal Connections,"Antennas, Connectors, and Related Components"
45,1,Category 2,Basic Maintenance of Internal Connections,Wireless Access Points
46,5,Category 1,Data Transmission and/or Internet Access,Category One Maintenance and Operations
47,2,Category 2,Basic Maintenance of Internal Connections,Wireless Access Points
48,11,Category 2,Managed Internal Broadband Services,Existing Equipment
49,3,Category 1,Data Transmission and/or Internet Access,Leased Lit Fiber
50,7,Category 2,Internal Connections,Routers and Necessary Software and Licenses
51,2,Category 2,Basic Maintenance of Internal Connections,Uninterruptable Power Supply/Battery Backup
52,4,Category 2,Basic Maintenance of Internal Connections,Cabling
53,5,Category 2,Internal Connections,Cabling
54,3,Category 2,Internal Connections,"Antennas, Connectors, and Related Components"
55,1,Category 1,Data Transmission and/or Internet Access,Category One Network Equipment
56,9,Category 2,Managed Internal Broadband Services,Existing Equipment
57,7,Category 2,Internal Connections,Switches and Necessary Software and Licenses
58,2,Category 2,Internal Connections,Cabling
59,4,Category 2,Internal Connections,Wireless Controllers and Necessary Software and Licenses
60,1,Category 2,Basic Maintenance of Internal Connections,Routers
61,6,Category 2,Internal Connections,Uninterruptable Power Supply/Battery Backup and Necessary Software and Licenses
62,5,Category 1,Data Transmission and/or Internet Access,Internet Access and Data Transmission Service
63,3,Category 2,Internal Connections,Wireless Access Points and Necessary Software and Licenses
64,2,Category 2,Basic Maintenance of Internal Connections,Routers
65,2,Category 1,Data Transmission and/or Internet Access,Category One Network Equipment
66,2,Category 1,Data Transmission and/or Internet Access,Services Provided Over Third-Party Networks
67,4,Category 1,Data Transmission and/or Internet Access,Leased Lit Fiber
68,2,Category 1,Data Transmission and/or Internet Access,Internet Access and Data Transmission Service
69,1,Category 2,Internal Connections,Racks
70,2,Category 1,Data Transmission and/or Internet Access,Category One Maintenance and Operations
71,7,Category 2,Internal Connections,Cabling
72,3,Category 1,Data Transmission and/or Internet Access,Leased Dark Fiber
73,3,Category 2,Internal Connections,Routers and Necessary Software and Licenses
74,5,Category 2,Managed Internal Broadband Services,Existing Equipment
75,1,Category 2,Basic Maintenance of Internal Connections,"Antennas, Connectors, and Related Components"
76,2,Category 2,Internal Connections,Routers and Necessary Software and Licenses
77,5,Category 2,Internal Connections,Racks
78,5,Category 2,Internal Connections,"Antennas, Connectors, and Related Components"
79,3,Category 1,Data Transmission and/or Internet Access,Internet Access and Data Transmission Service
80,3,Category 2,Basic Maintenance of Internal Connections,Firewall Service and Components
81,10,Category 2,Basic Maintenance of Internal Connections,Cabling
82,7,Category 2,Basic Maintenance of Internal Connections,Cabling
83,2,Category 1,Data Transmission and/or Internet Access,Standalone Internet Access Service
84,5,Category 1,Data Transmission and/or Internet Access,Services Provided Over Third-Party Networks
85,3,Category 2,Internal Connections,"Firewall Service, Components, and Necessary Software and Licenses"
86,3,Category 2,Basic Maintenance of Internal Connections,Wireless Access Points
87,7,Category 2,Internal Connections,"Antennas, Connectors, and Related Components"
88,2,Category 1,Data Transmission and/or Internet Access,Leased Lit Fiber
89,2,Category 2,Managed Internal Broadband Services,Leased Equipment
90,2,Category 2,Internal Connections,"Firewall Service, Components, and Necessary Software and Licenses"
91,7,Category 2,Basic Maintenance of Internal Connections,Switches
92,3,Category 2,Internal Connections,Uninterruptable Power Supply/Battery Backup and Necessary Software and Licenses
93,4,Category 2,Basic Maintenance of Internal Connections,Wireless Controllers
94,5,Category 1,Data Transmission and/or Internet Access,Leased Lit Fiber
95,20,Category 2,Basic Maintenance of Internal Connections,Switches
96,2,Category 2,Internal Connections,Switches and Necessary Software and Licenses
97,11,Category 2,Internal Connections,Switches and Necessary Software and Licenses
98,3,Category 2,Internal Connections,Racks
99,2,Category 2,Basic Maintenance of Internal Connections,Wireless Controllers
100,5,Category 2,Managed Internal Broadband Services,Leased Equipment
101,4,Category 2,Internal Connections,Wireless Access Points and Necessary Software and Licenses
102,4,Category 2,Internal Connections,Switches and Necessary Software and Licenses
103,8,Category 2,Basic Maintenance of Internal Connections,Cabling
104,5,Category 2,Basic Maintenance of Internal Connections,Switches
105,5,Category 2,Internal Connections,Uninterruptable Power Supply/Battery Backup and Necessary Software and Licenses
106,7,Category 2,Basic Maintenance of Internal Connections,Wireless Access Points
107,8,Category 2,Basic Maintenance of Internal Connections,Uninterruptable Power Supply/Battery Backup
108,2,Category 2,Internal Connections,Uninterruptable Power Supply/Battery Backup and Necessary Software and Licenses
109,7,Category 2,Managed Internal Broadband Services,Existing Equipment
110,4,Category 1,Data Transmission and/or Internet Access,Internet Access and Data Transmission Service
111,4,Category 2,Internal Connections,Cabling
112,4,Category 2,Internal Connections,Uninterruptable Power Supply/Battery Backup and Necessary Software and Licenses
113,3,Category 2,Basic Maintenance of Internal Connections,Switches
114,5,Category 2,Internal Connections,"Firewall Service, Components, and Necessary Software and Licenses"
115,2,Category 2,Managed Internal Broadband Services,Existing Equipment
116,8,Category 2,Basic Maintenance of Internal Connections,Wireless Access Points
117,2,Category 2,Internal Connections,Racks
118,4,Category 2,Internal Connections,"Antennas, Connectors, and Related Components"
119,8,Category 2,Basic Maintenance of Internal Connections,"Antennas, Connectors, and Related Components"
120,3,Category 2,Basic Maintenance of Internal Connections,Caching
121,4,Category 2,Basic Maintenance of Internal Connections,Racks
